id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
315999,GB-0187,small_airport,"Boones Farm Airstrip",51.9119794,0.5896978,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-10-24T07:09:09+00:00
316002,GB-0189,small_airport,"Caunton Airstrip",53.119877,-0.891481,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Knapworth,Knapworth Lodge",50,2019-12-20T01:21:58+00:00
316004,GB-0190,small_airport,"Cuckoo Tye Farm Airstrip",52.0682234,0.7362014,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-10-24T09:59:28+00:00
316007,GB-0192,small_airport,"Ditton Priors Airstrip",52.50358,-2.562562,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-10-24T10:14:07+00:00
316009,GB-0193,small_airport,"Bourne Park Airfield",51.2643784,-1.4656348,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Doles Wood",50,2015-10-24T10:42:19+00:00
316013,GB-0194,small_airport,"East Winch Airstrip",52.7237397,0.524189,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-10-24T12:16:31+00:00
316039,GB-0199,small_airport,"Sittles Farm Airstrip",52.7071274,-1.7500554,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-10-25T03:28:20+00:00
316041,GB-0200,small_airport,"Hanley Farm Airstrip",52.2990979,-2.4698229,645,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.hwas.orangehome.co.uk/,,,50,2015-10-25T05:01:36+00:00
316382,GB-0206,small_airport,"Wingland Airfield",52.8138048,0.1148968,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-11-18T11:31:38+00:00
316404,GB-0209,small_airport,"Watchford Farm Airstrip",50.9023839,-3.0981345,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-11-21T11:02:18+00:00
316435,GB-0215,small_airport,"Jubilee Farm Airstrip",52.6308036,0.0643512,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-11-28T08:23:15+00:00
316451,GB-0216,small_airport,"Ashley's Field Airstrip",53.2190693,0.2705275,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-01T13:30:34+00:00
316452,GB-0217,small_airport,"Clutton Hill Airstrip",51.3414043,-2.522437,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-01T14:37:56+00:00
316468,GB-0219,small_airport,"Rayne Hall Farm Airstrip",51.885975,0.5201017,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-05T06:03:46+00:00
316469,GB-0220,small_airport,"Spence Airfield",51.8386485,-2.5914762,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-05T06:08:13+00:00
316481,GB-0222,small_airport,"Tower Farm Airstrip",52.2593728,-0.6556195,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-07T10:49:41+00:00
316482,GB-0223,small_airport,"Pent Farm Airstrip",51.1096929,1.0543112,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,https://tigerclub.co.uk,,"Tiger Club",50,2015-12-07T10:55:51+00:00
316490,GB-0225,small_airport,"Stoodleigh Barton Private Airstrip",50.9572712,-3.5301848,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-08T11:38:07+00:00
316493,GB-0228,small_airport,"Redmoor Farm Airstrip",53.8404059,-0.9719151,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-08T11:50:40+00:00
316497,GB-0230,small_airport,"Oaklands Farm Airstrip",51.8471331,-1.4397248,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-08T14:42:36+00:00
316516,GB-0231,small_airport,"Berrow Airstrip",52.0009216,-2.3568692,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-11T09:11:48+00:00
316529,GB-0233,small_airport,"Old Hay Airfield",51.1787584,0.4256228,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.oldhayairfield.co.uk/,,,50,2015-12-12T10:44:05+00:00
316530,GB-0234,small_airport,"Laddingford Aerodrome",51.1908,0.4128,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-12T10:50:49+00:00
316531,GB-0235,small_airport,"High Cross Airstrip",51.850213,-0.003691,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2021-06-26T19:25:29+00:00
316542,GB-0237,small_airport,"Little Chase Farm Airstrip",52.357319,-1.6209368,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2015-12-13T13:24:19+00:00
316635,GB-0241,small_airport,"Taw Mill Airstrip",50.7764813,-3.9040791,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-01-05T10:47:07+00:00
